Gene name	miRBase ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
MIR4799	hsa-mir-4799	4	147782595	147782668
MIR4512	hsa-mir-4512	15	66496958	66497034
MIR5004	hsa-mir-5004	6	33438331	33438437
MIR6832	hsa-mir-6832	6	31633787	31633858
MIR4733	hsa-mir-4733	17	31094350	31094425
MIR4420	hsa-mir-4420	1	30739156	30739232
MIR183	hsa-mir-183	7	129774905	129775014
MIR6837	hsa-mir-6837	7	44051766	44051829
MIR1278	hsa-mir-1278	1	193136503	193136583
MIR204	hsa-mir-204	9	70809975	70810084
MIR4727	hsa-mir-4727	17	38825838	38825892
MIR3926-2	hsa-mir-3926-2	8	12727237	12727299
MIR1302-8	hsa-mir-1302-8	9	97363554	97363681
MIR302F	hsa-mir-302f	18	30298910	30298960
MIR3927	hsa-mir-3927	9	109511475	109511545
MIR421	hsa-mir-421	X	74218377	74218461
MIR181D	hsa-mir-181d	19	13874875	13875011
MIR3915	hsa-mir-3915	X	32583656	32583752
MIR8075	hsa-mir-8075	13	113262920	113262999
MIR4530	hsa-mir-4530	19	39409623	39409678
MIR501	hsa-mir-501	X	50009722	50009805
MIR487A	hsa-mir-487a	14	101052446	101052525
MIR124-3	hsa-mir-124-3	20	63178500	63178586
MIR4330	hsa-mir-4330	X	151168222	151168326
MIR3670-2	hsa-mir-3670-1	16	16306370	16306434
MIR3670-2	hsa-mir-3670-2	16	16306370	16306434
MIR3670-2	hsa-mir-3670-3	16	16306370	16306434
MIR3670-2	hsa-mir-3670-4	16	16306370	16306434
MIR378B	hsa-mir-378b	3	10330229	10330285
MIR4719	hsa-mir-4719	16	76868936	76869019
MIR8060	hsa-mir-8060	3	96359964	96360039
MIR632	hsa-mir-632	17	32350109	32350202
MIR1-2	hsa-mir-1-2	18	21829004	21829088
MIR1255B1	hsa-mir-1255b-1	4	36426366	36426428
MIR4741	hsa-mir-4741	18	22933349	22933438
AC098818.3		4	78820752	78820821
MIR6719	hsa-mir-6719	19	39829716	39829802
MIR1-1	hsa-mir-1-1	20	62554306	62554376
MIR219A1	hsa-mir-219a-1	6	33207835	33207944
MIR941-3	hsa-mir-941-2	20	63919561	63919632
MIR941-3	hsa-mir-941-3	20	63919561	63919632
MIR941-3	hsa-mir-941-4	20	63919561	63919632
MIR941-3	hsa-mir-941-5	20	63919561	63919632
MIR548I3	hsa-mir-548i-3	8	8088941	8089089
MIR31	hsa-mir-31	9	21512115	21512185
MIR3910-1	hsa-mir-3910-1	9	91636251	91636361
MIR1286	hsa-mir-1286	22	20249134	20249211
MIR548I1	hsa-mir-548i-1	3	125790404	125790552
MIR3154	hsa-mir-3154	9	128244947	128245030
MIR4453	hsa-mir-4453	4	152536428	152536516
MIR548AJ2	hsa-mir-548aj-2	X	38023895	38023986
MIR5690	hsa-mir-5690	6	35664717	35664789
MIR30A	hsa-mir-30a	6	71403551	71403621
MIR767	hsa-mir-767	X	152393421	152393529
MIR148A	hsa-mir-148a	7	25949919	25949986
MIR5090	hsa-mir-5090	7	102465742	102465826
MIR6876	hsa-mir-6876	8	25345402	25345474
MIR1587	hsa-mir-1587	X	39837561	39837613
MIR766	hsa-mir-766	X	119646738	119646848
MIR4260	hsa-mir-4260	1	209623444	209623510
MIR3158-2	hsa-mir-3158-1	10	101601417	101601497
MIR3158-2	hsa-mir-3158-2	10	101601417	101601497
MIR5582	hsa-mir-5582	11	46753125	46753192
MIR4491	hsa-mir-4491	11	111347757	111347824
MIR1291	hsa-mir-1291	12	48654444	48654530
MIR6759	hsa-mir-6759	12	57748618	57748682
MIR6861	hsa-mir-6861	12	112163258	112163321
MIR3165	hsa-mir-3165	11	72072228	72072302
MIR4503	hsa-mir-4503	14	36952309	36952391
MIR620	hsa-mir-620	12	116148560	116148654
MIR5694	hsa-mir-5694	14	67441855	67441930
MIR626	hsa-mir-626	15	41691585	41691678
MIR3170	hsa-mir-3170	13	98208524	98208600
MIR628	hsa-mir-628	15	55372940	55373034
MIR323B	hsa-mir-323b	14	101056219	101056300
MIR184	hsa-mir-184	15	79209788	79209871
MIR5701-2	hsa-mir-5701-1	15	21513959	21514040
MIR5701-2	hsa-mir-5701-2	15	21513959	21514040
MIR5701-2	hsa-mir-5701-3	15	21513959	21514040
MIR1276	hsa-mir-1276	15	85770496	85770578
MIR4312	hsa-mir-4312	15	68801850	68801925
MIR940	hsa-mir-940	16	2271747	2271840
MIR6504	hsa-mir-6504	16	81611348	81611408
MIR548AT	hsa-mir-548at	17	42494773	42494830
MIR6165	hsa-mir-6165	17	49510817	49510900
MIR7153	hsa-mir-7153	18	11654885	11654941
MIR657	hsa-mir-657	17	81125276	81125373
MIR6886	hsa-mir-6886	19	11113474	11113534
MIR150	hsa-mir-150	19	49500785	49500868
MIR3189	hsa-mir-3189	19	18386562	18386634
MIR8074	hsa-mir-8074	19	51206929	51207009
MIR4436B1	hsa-mir-4436b-1	2	110086433	110086523
MIR4436B1	hsa-mir-4436b-2	2	110086433	110086523
MIR8485	hsa-mir-8485	2	50696172	50696262
MIR4760	hsa-mir-4760	21	40212352	40212431
MIR548F2	hsa-mir-548f-2	2	212426263	212426360
MIR6889	hsa-mir-6889	22	41252992	41253050
MIR941-5	hsa-mir-941-2	20	63919868	63919939
MIR941-5	hsa-mir-941-3	20	63919868	63919939
MIR941-5	hsa-mir-941-4	20	63919868	63919939
MIR941-5	hsa-mir-941-5	20	63919868	63919939
MIR4281	hsa-mir-4281	5	176629439	176629500
MIR6821	hsa-mir-6821	22	49962866	49962939
MIR4284	hsa-mir-4284	7	73711317	73711397
MIR7976	hsa-mir-7976	3	127587111	127587176
MIR490	hsa-mir-490	7	136903167	136903294
MIR4452	hsa-mir-4452	4	86542482	86542552
MIR8066	hsa-mir-8066	4	101240795	101240872
MIR4768	hsa-mir-4768	X	17425881	17425954
MIR504	hsa-mir-504	X	138667711	138667793
MIR9-2	hsa-mir-9-2	5	88666853	88666939
MIR3914-2	hsa-mir-3914-2	7	71307674	71307768
MIR2861	hsa-mir-2861	9	127785918	127786007
MIR3689D1	hsa-mir-3689d-1	9	134849609	134849682
MIR761	hsa-mir-761	1	51836344	51836402
MIR611	hsa-mir-611	11	61792495	61792561
MIR4302	hsa-mir-4302	12	25874020	25874079
AC061709.1		12	128244506	128244573
MIR548H1	hsa-mir-548h-1	14	64095024	64095125
MIR411	hsa-mir-411	14	101023325	101023420
MIR758	hsa-mir-758	14	101026020	101026107
MIR6767	hsa-mir-6767	16	2445392	2445457
MIR3064	hsa-mir-3064	17	64500774	64500839
MIR6716	hsa-mir-6716	11	118644000	118644079
MIR3913-1	hsa-mir-3913-1	12	69584722	69584823
MIR3913-1	hsa-mir-3913-2	12	69584722	69584823
MIR4746	hsa-mir-4746	19	4445978	4446048
MIR4304	hsa-mir-4304	12	123010667	123010728
MIR1301	hsa-mir-1301	2	25328640	25328721
MIR4308	hsa-mir-4308	14	54878113	54878193
MIR3131	hsa-mir-3131	2	219058688	219058750
MIR3680-1	hsa-mir-3680-1	16	21506049	21506135
MIR3680-1	hsa-mir-3680-2	16	21506049	21506135
MIR3935	hsa-mir-3935	16	56245520	56245623
MIR6870	hsa-mir-6870	20	10649636	10649695
MIR6792	hsa-mir-6792	19	7617439	7617505
FP671120.1		21	8208844	8208904
MIR548AD	hsa-mir-548ad	2	35471405	35471486
MIR6130	hsa-mir-6130	21	23079284	23079392
MIR6724-1	hsa-mir-6724-1	21	8205315	8205406
MIR6724-1	hsa-mir-6724-2	21	8205315	8205406
MIR6724-1	hsa-mir-6724-3	21	8205315	8205406
MIR6724-1	hsa-mir-6724-4	21	8205315	8205406
MIR3200	hsa-mir-3200	22	30731557	30731641
MIR95	hsa-mir-95	4	8005301	8005381
MIR1324	hsa-mir-1324	3	75630763	75630858
MIR4466	hsa-mir-4466	6	156779678	156779731
MIR6083	hsa-mir-6083	3	124374332	124374437
MIR302D	hsa-mir-302d	4	112648004	112648071
MIR6842	hsa-mir-6842	8	27433370	27433434
MIR6833	hsa-mir-6833	6	32179816	32179876
MIR3622B	hsa-mir-3622b	8	27701673	27701767
MIR548AX	hsa-mir-548ax	X	11318614	11318686
MIR448	hsa-mir-448	X	114823454	114823564
MIR3911	hsa-mir-3911	9	127690687	127690795
MIR612	hsa-mir-612	11	65444458	65444557
MIR492	hsa-mir-492	12	94834398	94834513
MIR1251	hsa-mir-1251	12	97491909	97491978
MIR625	hsa-mir-625	14	65471102	65471186
MIR1225	hsa-mir-1225	16	2090195	2090284
MIR6126	hsa-mir-6126	16	3485381	3485469
MIR6080	hsa-mir-6080	17	64780759	64780824
MIR6718	hsa-mir-6718	18	3885353	3885432
MIR520H	hsa-mir-520h	19	53742512	53742599
MIR650	hsa-mir-650	22	22822776	22822871
MIR6823	hsa-mir-6823	3	48549961	48550021
MIR548BB	hsa-mir-548bb	3	60617805	60617870
MIR5692C1	hsa-mir-5692c-1	5	135802985	135803075
MIR4462	hsa-mir-4462	6	37555365	37555422
MIR3144	hsa-mir-3144	6	120015179	120015257
MIR6132	hsa-mir-6132	7	117020211	117020319
MIR3689C	hsa-mir-3689c	9	134849298	134849369
MIR509-2	hsa-mir-509-2	X	147258760	147258850
MIR3155A	hsa-mir-3155a	10	6152196	6152277
MIR4696	hsa-mir-4696	11	74720268	74720337
MIR6074	hsa-mir-6074	12	66023620	66023726
MIR377	hsa-mir-377	14	101062050	101062118
MIR6769A	hsa-mir-6769a	16	4671318	4671390
MIR6862-2	hsa-mir-6862-1	16	28724252	28724321
MIR6862-2	hsa-mir-6862-2	16	28724252	28724321
MIR519A2	hsa-mir-519a-2	19	53762344	53762430
MIR4430	hsa-mir-4430	2	33418516	33418564
MIR2355	hsa-mir-2355	2	207109987	207110073
MIR644A	hsa-mir-644a	20	34466325	34466418
MIR6813	hsa-mir-6813	20	64076955	64077010
MIR8069-1	hsa-mir-8069-1	21	6859171	6859256
MIR8069-1	hsa-mir-8069-2	21	6859171	6859256
MIR6724-2	hsa-mir-6724-1	21	8249505	8249596
MIR6724-2	hsa-mir-6724-2	21	8249505	8249596
MIR6724-2	hsa-mir-6724-3	21	8249505	8249596
MIR6724-2	hsa-mir-6724-4	21	8249505	8249596
MIR3923	hsa-mir-3923	3	79507887	79507969
MIR7110	hsa-mir-7110	3	123161794	123161879
MIR548F3	hsa-mir-548f-3	5	110513829	110513915
MIR6846	hsa-mir-6846	8	144057321	144057380
MIR652	hsa-mir-652	X	110055329	110055426
MIR450B	hsa-mir-450b	X	134540185	134540262
MIR888	hsa-mir-888	X	145994784	145994860
MIR4254	hsa-mir-4254	1	31758660	31758735
MIR5100	hsa-mir-5100	10	42997563	42997681
MIR1279	hsa-mir-1279	12	69273157	69273218
MIR1178	hsa-mir-1178	12	119713634	119713724
MIR8073	hsa-mir-8073	13	110340958	110341029
MIR548AP	hsa-mir-548ap	15	85825635	85825730
AL358013.1		1	10227718	10227803
MIR3176	hsa-mir-3176	16	543277	543366
MIR4720	hsa-mir-4720	16	81385018	81385093
MIR7856	hsa-mir-7856	1	86357632	86357687
MIR6510	hsa-mir-6510	17	41517164	41517217
MIR6507	hsa-mir-6507	10	98924499	98924568
MIR3188	hsa-mir-3188	19	18282077	18282161
MIR6084	hsa-mir-6084	1	20633679	20633788
MIR4681	hsa-mir-4681	10	119377972	119378043
MIR4752	hsa-mir-4752	19	54282109	54282180
MIR199A2	hsa-mir-199a-2	1	172144535	172144644
MIR6747	hsa-mir-6747	11	62567011	62567071
MIR3197	hsa-mir-3197	21	41167557	41167629
MIR181B1	hsa-mir-181b-1	1	198858873	198858982
MIR4494	hsa-mir-4494	12	47364186	47364269
MIR7978	hsa-mir-7978	4	21464700	21464758
MIR1307	hsa-mir-1307	10	103394253	103394401
MIR1229	hsa-mir-1229	5	179798278	179798346
MIR3908	hsa-mir-3908	12	123536409	123536534
MIR4655	hsa-mir-4655	7	1844180	1844253
MIR589	hsa-mir-589	7	5495819	5495917
MIR4295	hsa-mir-4295	10	112634170	112634254
MIR15A	hsa-mir-15a	13	50049119	50049201
MIR759	hsa-mir-759	13	52810050	52810140
MIR4283-1	hsa-mir-4283-1	7	56955785	56955864
MIR4283-1	hsa-mir-4283-2	7	56955785	56955864
MIR7855	hsa-mir-7855	14	64785626	64785686
MIR6085	hsa-mir-6085	15	62343029	62343138
MIR590	hsa-mir-590	7	74191198	74191294
MIR329-1	hsa-mir-329-1	14	101026785	101026864
MIR383	hsa-mir-383	8	14853438	14853510
MIR378D2	hsa-mir-378d-2	8	93916022	93916119
MIR656	hsa-mir-656	14	101066724	101066801
MIR4723	hsa-mir-4723	17	28360654	28360734
MIR7705	hsa-mir-7705	8	100702968	100703024
MIR2117	hsa-mir-2117	17	43444806	43444885
MIR876	hsa-mir-876	9	28863626	28863706
MIR4319	hsa-mir-4319	18	44970082	44970166
MIR142	hsa-mir-142	17	58331232	58331318
MIR3960	hsa-mir-3960	9	127785833	127785923
MIR373	hsa-mir-373	19	53788705	53788773
MIR1227	hsa-mir-1227	19	2234062	2234149
MIR502	hsa-mir-502	X	50014598	50014683
MIR23A	hsa-mir-23a	19	13836587	13836659
MIR6804	hsa-mir-6804	19	55230885	55230952
MIR526A1	hsa-mir-526a-1	19	53706252	53706336
MIR4263	hsa-mir-4263	2	27996367	27996449
MIR3127	hsa-mir-3127	2	96798278	96798353
MIR6508	hsa-mir-6508	21	39447010	39447069
MIR6872	hsa-mir-6872	3	50273236	50273297
MIR103B1	hsa-mir-103b-1	5	168560904	168560965
MIR1248	hsa-mir-1248	3	186786672	186786777
MIR4465	hsa-mir-4465	6	140683814	140683883
MIR572	hsa-mir-572	4	11368827	11368921
MIR6892	hsa-mir-6892	7	143382686	143382800
MIR4275	hsa-mir-4275	4	28819582	28819668
MIR486-2	hsa-mir-486-2	8	41660444	41660507
MIR3945	hsa-mir-3945	4	184851013	184851110
MIR374C	hsa-mir-374c	X	74218549	74218618
MIR4638	hsa-mir-4638	5	181222566	181222633
MIR3654	hsa-mir-3654	7	133034860	133034915
MIR548V	hsa-mir-548v	8	17681578	17681657
MIR3150A	hsa-mir-3150a	8	95072914	95072993
MIR6895	hsa-mir-6895	X	53195411	53195488
MIRLET7F2	hsa-let-7f-2	X	53557192	53557274
MIR92A2	hsa-mir-92a-2	X	134169538	134169612
MIR3605	hsa-mir-3605	1	33332393	33332492
MIR3121	hsa-mir-3121	1	180438314	180438390
MIR4486	hsa-mir-4486	11	19575310	19575372
MIR3973	hsa-mir-3973	11	36010098	36010204
MIR548AL	hsa-mir-548al	11	74399237	74399333
MIR4700	hsa-mir-4700	12	120723193	120723266
MIR5581	hsa-mir-5581	1	37500935	37500994
MIR137	hsa-mir-137	1	98046070	98046171
MIR6863	hsa-mir-6863	16	56904264	56904353
MIR1537	hsa-mir-1537	1	235853000	235853060
MIR451B	hsa-mir-451b	17	28861371	28861438
MIR4678	hsa-mir-4678	10	87503881	87503954
MIR454	hsa-mir-454	17	59137758	59137872
MIR548E	hsa-mir-548e	10	110988926	110989013
MIR320C1		18	21683510	21683597
MIR3166	hsa-mir-3166	11	88176502	88176593
MIR208B	hsa-mir-208b	14	23417987	23418063
MIR4321	hsa-mir-4321	19	2250639	2250718
MIR300	hsa-mir-300	14	101041363	101041445
MIR6798	hsa-mir-6798	19	49009906	49009972
MIR1268A	hsa-mir-1268a	15	22225278	22225329
MIR4765	hsa-mir-4765	2	32635255	32635331
MIR6506	hsa-mir-6506	16	15611030	15611095
MIR5193	hsa-mir-5193	3	49806137	49806245
MIR6511A4	hsa-mir-6511a-1	16	18344013	18344079
MIR6511A4	hsa-mir-6511a-2	16	18344013	18344079
MIR6511A4	hsa-mir-6511a-3	16	18344013	18344079
MIR6511A4	hsa-mir-6511a-4	16	18344013	18344079
MIR6826	hsa-mir-6826	3	129272146	129272243
MIR4518	hsa-mir-4518	16	30503919	30504001
MIR6774	hsa-mir-6774	16	85918347	85918416
MIR577	hsa-mir-577	4	114656759	114656854
MIR371A	hsa-mir-371a	19	53787675	53787741
MIR548T	hsa-mir-548t	4	173268160	173268233
MIR6812	hsa-mir-6812	20	45425510	45425573
MIR585	hsa-mir-585	5	169263601	169263694
MIR5571	hsa-mir-5571	22	22886267	22886379
MIR7702	hsa-mir-7702	9	111271156	111271214
MIR4443	hsa-mir-4443	3	48196564	48196616
MIR147A	hsa-mir-147a	9	120244979	120245050
MIR5186	hsa-mir-5186	3	151565876	151565995
MIR4767	hsa-mir-4767	X	7147860	7147937
MIR551B	hsa-mir-551b	3	168551854	168551949
MIR4800	hsa-mir-4800	4	2250077	2250156
MIR4802	hsa-mir-4802	4	40502040	40502119
MIR6839	hsa-mir-6839	7	64679064	64679176
MIR5680	hsa-mir-5680	8	102125432	102125515
MIR1321	hsa-mir-1321	X	85835780	85835858
MIR20B	hsa-mir-20b	X	134169809	134169877
MIR2114	hsa-mir-2114	X	150228004	150228083
MIR664B	hsa-mir-664b	X	154768596	154768656
MIR101-1	hsa-mir-101-1	1	65058434	65058508
MIR320B1		1	116671749	116671827
MIR4298	hsa-mir-4298	11	1859464	1859536
MIR100	hsa-mir-100	11	122152229	122152308
MIR3649	hsa-mir-3649	12	1660315	1660380
MIR7973-2	hsa-mir-7973-2	15	51314032	51314107
MIR1288	hsa-mir-1288	17	16282014	16282088
MIR4726	hsa-mir-4726	17	38719691	38719748
MIR6866	hsa-mir-6866	17	40161933	40162001
AC234063.1		17	64425069	64425170
MIR133A1	hsa-mir-133a-1	18	21825698	21825785
MIR4999	hsa-mir-4999	19	8389290	8389380
MIR6515	hsa-mir-6515	19	12940484	12940540
MIR640	hsa-mir-640	19	19435063	19435158
MIR641	hsa-mir-641	19	40282543	40282641
MIR6071	hsa-mir-6071	2	85783600	85783677
MIR4266	hsa-mir-4266	2	109313571	109313625
MIR4251	hsa-mir-4251	1	3127975	3128035
MIR6819	hsa-mir-6819	22	36286847	36286907
MIR4293	hsa-mir-4293	10	14383200	14383277
MIR378D1	hsa-mir-378d-1	4	5923275	5923328
MIR7151	hsa-mir-7151	10	67403351	67403410
MIR6858	hsa-mir-6858	X	154450320	154450386
MIR7847	hsa-mir-7847	11	1880045	1880147
MIR4699	hsa-mir-4699	12	81158388	81158461
MIR2276	hsa-mir-2276	13	24162416	24162504
MIR6862-1	hsa-mir-6862-1	16	28390982	28391051
MIR6862-1	hsa-mir-6862-2	16	28390982	28391051
MIR1203	hsa-mir-1203	17	48156427	48156511
MIR8085	hsa-mir-8085	19	44758657	44758721
MIR125A	hsa-mir-125a	19	51693254	51693339
MIR518C	hsa-mir-518c	19	53708735	53708835
MIR518A2	hsa-mir-518a-2	19	53739333	53739419
MIR548S	hsa-mir-548s	2	11767444	11767525
MIR4435-2	hsa-mir-4435-2	2	111321013	111321086
MIR7845	hsa-mir-7845	2	207166400	207166498
MIR499A	hsa-mir-499a	20	34990376	34990497
MIR8076	hsa-mir-8076	3	113432118	113432200
MIR607	hsa-mir-607	10	96828669	96828764
MIR4448	hsa-mir-4448	3	183886800	183886885
MIR708	hsa-mir-708	11	79402022	79402109
MIR4277	hsa-mir-4277	5	1708785	1708868
MIR1247	hsa-mir-1247	14	101560287	101560422
MIR3650	hsa-mir-3650	5	38557502	38557561
MIR21	hsa-mir-21	17	59841266	59841337
MIR4803	hsa-mir-4803	5	72169467	72169540
MIR1270	hsa-mir-1270	19	20399272	20399354
AC008670.1		5	134928039	134928112
MIR6796	hsa-mir-6796	19	40369846	40369907
MIR6856	hsa-mir-6856	9	130626297	130626363
MIR769	hsa-mir-769	19	46018932	46019049
MIR548BA	hsa-mir-548ba	2	49059603	49059658
MIR6089	hsa-mir-6089-1	X	2609191	2609254
MIR6089	hsa-mir-6089-2	X	2609191	2609254
MIR191	hsa-mir-191	3	49020618	49020709
MIR4536-2	hsa-mir-4536-1	X	55451495	55451582
MIR4536-2	hsa-mir-4536-2	X	55451495	55451582
MIR5705	hsa-mir-5705	4	87300495	87300583
MIR3936	hsa-mir-3936	5	132365490	132365599
MIR4646	hsa-mir-4646	6	31701029	31701091
MIR550B2	hsa-mir-550a-2	7	32732981	32733077
MIR550B2	hsa-mir-550b-2	7	32732981	32733077
MIR5692A2	hsa-mir-5692a-2	8	12719132	12719190
MIR1264	hsa-mir-1264	X	114652655	114652723
MIR513B	hsa-mir-513b	X	147199044	147199127
AL031428.2		1	23057858	23057934
MIR6740	hsa-mir-6740	1	202003124	202003236
MIR6769B	hsa-mir-6769b	1	206474803	206474864
MIR7851	hsa-mir-7851	12	42323700	42323859
MIR134	hsa-mir-134	14	101054687	101054759
MIR548W	hsa-mir-548w	16	26025237	26025310
MIR328	hsa-mir-328	16	67202321	67202395
MIR6777	hsa-mir-6777	17	17813480	17813545
MIR7515	hsa-mir-7515	2	6650373	6650439
MIR3682	hsa-mir-3682	2	53849122	53849205
MIR1471	hsa-mir-1471	2	231892242	231892298
MIR99A	hsa-mir-99a	21	16539089	16539169
MIR6070	hsa-mir-6070	21	43609887	43609989
MIR1306	hsa-mir-1306	22	20086058	20086142
MIR548A2	hsa-mir-548a-2	6	135239160	135239256
MIR96	hsa-mir-96	7	129774692	129774769
MIR548AO	hsa-mir-548ao	8	41271048	41271143
MIR5681B	hsa-mir-5681b	8	74548550	74548609
MIR6844	hsa-mir-6844	8	124508515	124508576
MIR548AU	hsa-mir-548au	9	93594841	93594894
MIR507	hsa-mir-507	X	147230984	147231077
MIR6726	hsa-mir-6726	1	1296110	1296170
AC099677.7		1	52934930	52935017
MIR2110	hsa-mir-2110	10	114174105	114174179
MIR4297	hsa-mir-4297	10	129843299	129843374
MIR3160-2	hsa-mir-3160-2	11	46451807	46451887
AC114498.2		1	632325	632413
MIR135A2	hsa-mir-135a-2	12	97563812	97563911
MIR4703	hsa-mir-4703	13	51552589	51552667
MIR4472-2	hsa-mir-4472-2	12	116428252	116428318
MIR496	hsa-mir-496	14	101060573	101060674
MIR17	hsa-mir-17	13	91350605	91350688
MIR5701-3	hsa-mir-5701-1	15	21951242	21951323
MIR5701-3	hsa-mir-5701-2	15	21951242	21951323
MIR5701-3	hsa-mir-5701-3	15	21951242	21951323
MIR655	hsa-mir-655	14	101049550	101049646
MIR4514	hsa-mir-4514	15	80997417	80997473
MIR4537	hsa-mir-4537	14	105859484	105859553
MIR3181	hsa-mir-3181	16	50742305	50742377
MIR4714	hsa-mir-4714	15	98784426	98784502
MIR1910	hsa-mir-1910	16	85741621	85741700
MIR1253	hsa-mir-1253	17	2748078	2748182
MIR3614	hsa-mir-3614	17	56891270	56891355
MIR4725	hsa-mir-4725	17	31575269	31575358
MIR1268B	hsa-mir-1268b	17	80098828	80098877
MIR639	hsa-mir-639	19	14529543	14529640
MIR924	hsa-mir-924	18	39622123	39622175
MIR6797	hsa-mir-6797	19	41869627	41869698
MIR4773-1	hsa-mir-4773-1	2	151368334	151368411
MIR4773-1	hsa-mir-4773-2	2	151368334	151368411
MIR6803	hsa-mir-6803	19	55245186	55245250
MIR4759	hsa-mir-4759	21	26953961	26954043
MIR548AY	hsa-mir-548ay	3	32506283	32506389
MIR3195	hsa-mir-3195	20	62064802	62064885
MIR5689	hsa-mir-5689	6	10439717	10439794
MIR4795	hsa-mir-4795	3	87226189	87226277
MIR550A2	hsa-mir-550a-2	7	32732981	32733077
MIR550A2	hsa-mir-550b-2	7	32732981	32733077
MIR5002	hsa-mir-5002	3	124132929	124133025
MIR6840	hsa-mir-6840	7	100356651	100356721
MIR575	hsa-mir-575	4	82753337	82753430
MIR7160	hsa-mir-7160	8	2076589	2076640
MIR4478	hsa-mir-4478	9	122120082	122120167
MIR3152	hsa-mir-3152	9	18573306	18573379
MIR3689D2	hsa-mir-3689d-2	9	134850277	134850356
MIR3689F	hsa-mir-3689f	9	134850742	134850807
MIR548AM	hsa-mir-548am	X	16627012	16627085
MIR892C	hsa-mir-892c	X	145992750	145992826
MIR4299	hsa-mir-4299	11	11656651	11656722
MIR4490	hsa-mir-4490	11	90555774	90555857
AP003304.1		11	104252591	104252651
MIR4499	hsa-mir-4499	13	20433778	20433846
MIR1185-1	hsa-mir-1185-1	14	101042977	101043062
MIR3179-3	hsa-mir-3179-1	16	18411894	18411977
MIR3179-3	hsa-mir-3179-2	16	18411894	18411977
