Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
TMIGD3	1	111483348	111563962
INKA2	1	111680630	111755824
ARID4B	1	235131634	235328219
QKI	6	163414000	163578592
STIP1	11	64185272	64204543
RBM34	1	235131183	235161283
CENPX	17	82018702	82024107
DDX20	1	111755245	111768000
ANKRD39	2	96836611	96858016
TRIM63	1	26051304	26068436
USF1	1	161039251	161045977
LRRC45	17	82023305	82031151
CNNM3	2	96816245	96835382
LRRC43	12	122167738	122203471
IL31	12	122172030	122174199
FSIP2	2	185738804	185833290
AIG1	6	143060496	143340304
SYT12	11	67006778	67050863
H3F3A	1	226061851	226072007
LBH	2	30231534	30323730
ANKRD23	2	96824526	96857934
NT5C1A	1	39659121	39672038
PRAMEF33	1	13303539	13308907
ZNF804A	2	184598529	184939492
RANBP2	2	108719482	108785809
PRAMEF8	1	13281035	13285174
PRAMEF14	1	13342034	13347134
PRAMEF15	1	13315581	13322598
HID1	17	74950742	74973166
C1orf162	1	111473792	111478512
MLXIP	12	122078756	122147344
RSF1	11	77659996	77821017
SLC30A2	1	26037252	26046133
C11orf86	11	66975277	66977004
GK2	4	79406352	79408293
PPM1A	14	60245752	60299087
PDGFRA	4	54229280	54298245
CFAP20	16	58113592	58129381
AAAS	12	53307457	53324864
EXTL1	1	26019884	26036464
CHIC2	4	54009789	54064605
HEYL	1	39623435	39639643
NUP35	2	183117513	183161680
NAA11	4	79225694	79326050
GPR37	7	124745997	124765627
OTOP3	17	74935719	74949992
LNX1	4	53459301	53701405
GSX2	4	54099523	54102498
OTOP2	17	74924275	74933912
DUSP19	2	183078559	183100005
TVP23A	16	10760919	10818794
USH1G	17	74916083	74923256
PAK3	X	110944285	111227361
TSTD1	1	161037631	161038977
FIP1L1	4	53377641	53460862
P2RY12	3	151337380	151384812
LMNA	1	156082573	156140089
ITLN1	1	160876540	160885180
TARBP1	1	234391313	234479179
NBPF12	1	146938744	146996202
HTR7	10	90740823	90858039
PRAMEF5	1	13254212	13263314
WDR77	1	111439890	111449256
HNRNPCL4	1	13164586	13165467
AP2A1	19	49766968	49807113
OVGP1	1	111414314	111427777
COA6	1	234373456	234385068
KCNK1	1	233614004	233672512
HPD	12	121839527	121863596
SMG7	1	183472216	183598246
TBCK	4	106041599	106321495
YAF2	12	42157104	42238349
HIVEP2	6	142751469	142956698
NOTCH2NLA	1	146146203	146229026
KRTAP5-5	CHR_HSCHR11_2_CTG1_1	1629984	1630868
NMNAT2	1	183248237	183418380
COPS9	2	240126563	240136807
TMEM120B	12	121712752	121783001
OR6B3	2	240045077	240047027
LAMC2	1	183186238	183244900
MORN3	12	121648742	121672631
MMGT1	X	135962070	135974063
MAGEA9B	X	149581653	149587453
MAIP1	2	199955317	200008540
DHRS7	14	60144119	60169856
C2orf69	2	199911293	199955935
NEK11	3	131026850	131350465
DAO	12	108858932	108901043
PPFIA2	12	81257975	81759553
DHX9	1	182839347	182887982
KIFAP3	1	169921326	170085208
BRWD3	X	80670854	80809688
LYZ	12	69348341	69354234
DNAH14	1	224896262	225399292
LPAR4	X	78747709	78757094
FCAMR	1	206957965	206970625
SLC13A1	7	123113531	123199972
SEPT4	17	58520250	58540818
NAA40	11	63938959	63957319
NCSTN	1	160343316	160358952
CT55	X	135156536	135171398
PCARE	2	29060976	29074523
AMDHD2	16	2520357	2531422
TOGARAM2	2	28956611	29061373
COG2	1	230642481	230693982
HSF5	17	58420167	58488384
ZNF648	1	182054570	182061712
GDPD4	11	77216558	77301687
SESN2	1	28259518	28282491
PGBD5	1	230314490	230426332
WSCD2	12	108129288	108250537
COL4A5	X	108439844	108697545
LRRC66	4	51993702	52017620
F5	1	169514166	169586588
ESPNL	2	238100340	238133287
CPT1A	11	68754620	68844410
ZNF85	CHR_HSCHR19_1_CTG2	20929638	20957113
C10orf95	10	102449837	102451543
SLC19A2	1	169463909	169485944
URB2	1	229626247	229660200
NBEAL1	2	203014879	203226378
PPP1R13L	19	45379638	45406349
TNFAIP3	6	137867214	137883312
PRDM4	12	107732871	107761272
ATP5IF1	1	28236109	28246906
CUEDC2	10	102423245	102432584
LIX1L	1	145933423	145958017
MMP17	12	131828393	131851783
DOK5	20	54475597	54651171
PEX11B	1	145911350	145918717
NPIPB6	16	28342555	28363508
ACTA1	1	229431245	229434098
DDX23	12	48829756	48852842
POLR3GL	1	145964690	145978848
ERCC1	19	45407333	45478828
HSPE1	2	197500140	197503449
SBK1	16	28292525	28323849
UBE2F-SCLY	2	237967014	238099412
GRIN2A	16	9753404	10182754
ARHGAP5	14	32076114	32159728
NFE4	7	102973430	102988856
ANKRD34A	1	145959441	145964575
KIR2DS2	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	54738476	54752501
METTL8	2	171317405	171434802
KIR3DL3	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	54724485	54736504
TSEN34	CHR_HSCHR19LRC_LRC_I_CTG3_1	54190866	54195141
VSTM1	CHR_HSCHR19LRC_LRC_T_CTG3_1	54040833	54063953
LRRC38	1	13474973	13514003
DLX1	2	172084740	172089677
BMP8B	1	39757182	39788865
DLX2	2	172099438	172102900
OXCT2	1	39769523	39771348
NCOA4	10	46005088	46030714
LRRC10	12	69608564	69611162
KCTD19	16	67289428	67326760
PFDN2	1	161100556	161118055
C1orf21	1	184387029	184629019
BEST3	12	69643360	69699476
LIN9	1	226231149	226309869
CCDC138	2	108786757	108885477
DEPDC4	12	100203669	100267079
ZCRB1	12	42312086	42326118
NDUFS1	2	206114817	206159509
DEXI	16	10928891	10942468
ACTR6	12	100199122	100241865
FAM171B	2	186694060	186765959
PRICKLE1	12	42456757	42590355
CIITA	16	10866222	10943021
ITGAV	2	186590056	186680901
DCX	X	111293779	111412429
CHD1L	1	147242654	147295765
FAM110D	1	26159079	26163962
RHOD	11	67056847	67072017
MYOC	1	171635417	171652688
MYOCOS	1	171600621	171638799
ANXA7	10	73375101	73414076
VAMP4	1	171700160	171742074
KIF1A	2	240713761	240821036
SEMA4A	1	156147366	156177752
SGO2	2	200510008	200584096
C1orf232	1	26164161	26168581
CDR2L	17	74987632	75005800
KCTD18	2	200488958	200519784
METTL25	12	82358528	82479239
AAMDC	11	77821109	77918432
ZNF593	1	26169908	26170873
CCDC59	12	82223681	82358805
EEF1AKNMT	1	171781660	171814023
MRPL58	17	75012670	75021261
MSMB	10	46033307	46046269
ADAT2	6	143422832	143450695
PPHLN1	12	42238447	42459715
INTS4	11	77878720	77994671
UFC1	1	161152776	161158856
AADACL2	3	151733916	151761339
ZSWIM2	2	186827835	186849208
SUCNR1	3	151873643	151884619
AADAC	3	151814073	151828488
MSS51	10	73423579	73433561
HOXA2	7	27100354	27102686
SCYL2	12	100267140	100341724
DGKD	2	233354507	233472104
HOXA6	7	27145396	27150603
TFPI	2	187464230	187565760
RIPK3	14	24336025	24340022
HOXA5	7	27141052	27143681
AOX1	2	200586014	200677064
HOXA3	7	27106184	27152581
ADCY4	14	24318349	24335093
HOXA4	7	27128507	27130799
HOXA7	7	27153716	27157936
CALCRL	2	187341964	187448460
GIMD1	4	106357485	106368825
DKK2	4	106921802	107283806
FMO5	1	147175351	147243050
PARP1	1	226360691	226408093
SLC25A44	1	156193932	156212796
EDEM3	1	184690237	184754907
LPIN3	20	41340920	41360582
USP21	1	161159450	161165723
ANTXR2	4	79901146	80125454
EMILIN3	20	41359962	41366818
SAP130	2	127941217	128028120
PAQR6	1	156243320	156248117
FAM129A	1	184790724	184974508
CYLC1	X	83861126	83886699
C1orf105	1	172420685	172468831
TMTC2	12	82686880	83134870
RNF2	1	185045526	185102603
PIGC	1	172370189	172444086
DNM3	1	171841498	172418466
RPS6KA6	X	84058346	84188199
SLC6A15	12	84859491	84913615
UBE3B	12	109477402	109536705
SP1	12	53380176	53416446
PMF1-BGLAP	1	156212982	156243332
PMF1	1	156212993	156240042
CCDC113	16	58231157	58283836
AMHR2	12	53423855	53431672
BGLAP	1	156242184	156243317
PRSS54	16	58279997	58295047
B4GALT3	1	161171310	161177968
SLC17A8	12	100357079	100422059
PPOX	1	161166056	161178013
ATP5PD	17	75038863	75046985
HDX	X	84317874	84502479
PDK1	2	172555373	172608669
KCTD2	17	75032575	75065889
FHL1	X	136146702	136211359
BZW1	2	200810594	200827338
KDM2A	11	67119263	67258082
SEMA4C	2	96859718	96870757
ITGA6	2	172427354	172506459
AMY2B	1	103553815	103579534
NR1H4	12	100473708	100564414
GULP1	2	188291669	188595931
RNPC3	1	103525691	103555239
SMIM26	20	18567347	18569563
DTD1	20	18587893	18766644
C6orf118	6	165279664	165309605
GINS3	16	58295080	58406144
TSPAN19	12	85014311	85036277
USP54	10	73497538	73625953
LRRIQ1	12	85036314	85264457
ALX1	12	85280220	85301784
EEF1B2	2	206159585	206162928
CMTR2	16	71281389	71289715
PPP3CB	10	73436428	73496024
NDUFS2	1	161197104	161214395
ASIC4	2	219514170	219538772
RAB3IP	12	69738681	69823204
GPR1	2	206175316	206218047
GRM8	7	126438598	127253294
GMPPA	2	219498867	219506989
ADAMTS4	1	161184302	161199054
RASSF9	12	85800703	85836409
TRMT1L	1	185118101	185157072
NTS	12	85874295	85882992
PRDM8	4	80183879	80204329
ZDBF2	2	206274663	206314427
MGAT4C	12	85955666	86838904
GAS2L3	12	100573683	100628288
SLC16A5	17	75087727	75106162
DIRC1	2	188733738	188790104
SWT1	1	185157080	185291781
AGXT	2	240868824	240880502
FCER1G	1	161215234	161220699
CASTOR3	7	100200653	100272232
SUCO	1	172532349	172611833
RGN	X	47078355	47093314
GNG4	1	235547685	235650754
CNOT2	12	70242994	70354993
ADAM23	2	206443532	206621127
SPEG	2	219434843	219493629
MAB21L4	2	240886048	240896889
PRR13	12	53441678	53446645
COL3A1	2	188974320	189012746
ETAA1	2	67397319	67412089
CROCC2	2	240906330	240993311
MYT1L	2	1789113	2331664
PVRIG	7	100218241	100221490
MAP3K12	12	53479669	53500063
STAG3	7	100177563	100221488
SPEGNB	2	219496125	219498287
APOA2	1	161222292	161223631
DHCR24	1	54849627	54887195
MMAB	12	109553715	109573580
PCBP2	12	53452102	53481162
LYST	1	235661041	235883640
ANO4	12	100717526	101128641
CD34	1	207880972	207911402
MVK	12	109573255	109598125
PLXNA2	1	208022242	208244384
FASLG	1	172659103	172666876
TNFSF18	1	173039960	173050963
TNFSF4	1	173183731	173207331
SLC5A8	12	101155493	101210407
MYRFL	12	69825304	69959097
IVNS1ABP	1	185296388	185317273
PRDX6	1	173477330	173488815
C12orf50	12	87980035	88034037
SNED1	2	240998618	241095568
SMG5	1	156249224	156282825
CEP290	12	88049014	88142088
FAM237A	2	206642412	206649011
UTP20	12	101280105	101386618
FXYD2	11	117800844	117828698
DYTN	2	206651621	206718396
UGGT1	2	128091200	128195677
CLIP1	12	122271432	122422632
TMEM79	1	156282935	156293185
DSCAML1	11	117427773	117817525
GLMP	1	156290089	156295689
FASTKD2	2	206765357	206796189
ANKRD45	1	173609561	173669862
TEX50	1	173635338	173637130
SLC9C2	1	173500460	173603072
SATL1	X	85092287	85243961
MTERF4	2	241072169	241102332
MDH1B	2	206737763	206765328
CALB2	16	71358713	71390436
APOOL	X	85003877	85093316
C12orf29	12	88033846	88050160
FAM178B	2	96875882	96986580
NID1	1	235975830	236065109
FXYD6-FXYD2	11	117820163	117876667
HMCN1	1	185734391	186190949
FXYD6	11	117836976	117877486
RAPGEF4	2	172735274	173052893
ZNF711	X	85244032	85273362
FAM222A	12	109714228	109770507
PPIL3	2	200870907	200889303
ERO1B	1	236215555	236281985
CPO	2	206939554	206969474
GPR137B	1	236142505	236221865
CAMK1G	1	209583714	209613939
KLF7	2	207074137	207167267
AMY2A	1	103616811	103625780
EDARADD	1	236348257	236502915
SCP2D1	20	18813726	18814392
CHPF	2	219538948	219543809
CLK1	2	200853009	200864744
FAHD2B	2	97083583	97094882
TOMM40L	1	161225939	161230746
TMEM198	2	219543663	219550595
VHLL	1	156298624	156299299
PRLHR	10	118589997	118595648
CNKSR1	1	26177484	26189884
CREB1	2	207529737	207605988
TSACC	1	156337314	156346995
NR1I3	1	161229666	161238302
LAMB3	1	209614870	209652425
AMY1A	1	103655290	103664554
NDUFB11	X	47142216	47145504
RBM10	X	47145221	47186813
CCT3	1	156308968	156367873
ARL1	12	101393116	101407772
PASK	2	241106099	241150264
ZCCHC8	12	122471600	122501073
METTL21A	2	207580631	207625928
POF1B	X	85277396	85379717
KLHL20	1	173714941	173786692
SPIC	12	101475421	101486997
NT5C	17	75130225	75131757
HSD11B1	1	209686178	209734949
CHM	X	85861180	86047561
G0S2	1	209675412	209676390
PPP1R7	2	241149576	241183652
ARMC7	17	75109952	75130272
PRG4	1	186296279	186314562
GRK2	11	67266473	67286556
OBSL1	2	219550728	219571859
TPR	1	186311652	186375693
AMY1B	1	103687415	103696680
MAP3K20	2	173075435	173268015
PALLD	4	168497052	168928457
INHA	2	219569162	219575711
ZBTB37	1	173868082	173903549
RSRC2	12	122503454	122527000
MBNL1	3	152243828	152465780
CENPL	1	173799550	173824720
TRPV4	12	109783085	109833401
CDCA7	2	173354820	173368997
ANKRD36	2	97113218	97264434
DARS2	1	173824568	173858808
CBR4	4	168863770	169010275
RHBG	1	156369211	156385219
DDX60L	4	168356735	168537786
TRAF3IP3	1	209756032	209782320
C1orf61	1	156404250	156430701
COL5A2	2	189031898	189225312
SP3	2	173880850	173965702
PDE10A	6	165327287	165988078
LGALS8	1	236518000	236552981
C1orf74	1	209779208	209784559
TPI1	12	6867119	6870948
STK11IP	2	219597857	219616451
PILRA	7	100367530	100400096
KCNMB4	12	70366290	70434292
LRRC23	12	6873569	6914241
WDR75	2	189441446	189475552
SLC24A3	20	19212646	19722937
IRF6	1	209785617	209806175
PILRB	7	100352176	100367733
SLC40A1	2	189560579	189583758
UTP25	1	209827972	209857565
ENO2	12	6913745	6923698
CFAP299	4	80335720	80963756
FGF5	4	80266599	80336680
NIF3L1	2	200889327	200903938
TMTC3	12	88142296	88199887
SPSB2	12	6870935	6889358
KNTC1	12	122527246	122626396
ASNSD1	2	189661385	189670831
SEZ6L2	16	29871159	29899547
ASDURF	2	189661452	189666437
PTPRB	12	70515866	70637440
SPDYE3	7	100307702	100322196
HEATR1	1	236549005	236604516
ANKAR	2	189674290	189761193
FAM126B	2	200973718	201071671
OSGEPL1	2	189746660	189763227
SYT14	1	209900923	210171389
ORC2	2	200908977	200963680
DACH2	X	86148451	86832604
KITLG	12	88492793	88580851
ANO7	2	241188509	241225377
ODR4	1	186375838	186421378
CACUL1	10	118674167	118755249
NDUFB3	2	201071433	201085750
SERTAD4	1	210232796	210246631
TMEM61	1	54980628	54992288
OCLM	1	186400572	186401455
PDC	1	186443566	186461122
AMY1C	1	103750406	103758690
ACTN2	1	236664141	236764631
PCP4L1	1	161258745	161285450
BSND	1	54998193	55017172
GLTP	12	109850945	109880541
DUSP6	12	89347235	89352501
HHAT	1	210328252	210676296
NANOS1	10	119029714	119033730
EIF3A	10	119033670	119080823
PTGS2	1	186671791	186680423
MEF2D	1	156463727	156500779
CCNYL1	2	207711540	207761839
HCAR2	12	122701293	122703343
HCAR3	12	122714756	122716892
C1D	2	68041130	68110948
SLC4A3	2	219627394	219641980
PCSK9	1	55039548	55064852
ORMDL1	2	189770267	189784364
EEF1A2	20	63488014	63499185
OLA1	2	174072447	174248599
PMS1	2	189784085	189877629
MTR	1	236795292	236921278
HCAR1	12	122726076	122730843
DENR	12	122752824	122771064
ASPHD1	16	29900375	29919864
GIT2	12	109929802	109996389
IQGAP3	1	156525405	156572604
KCTD13	16	29905012	29926236
CCDC62	12	122774327	122827528
SP9	2	174334954	174338500
CIR1	2	174348022	174395712
PNO1	2	68157888	68176238
PPP3R1	2	68178857	68256237
TTC24	1	156579727	156586770
WDR92	2	68122936	68157549
NAXE	1	156591762	156594299
USP24	1	55066359	55215364
SCRN3	2	174395730	174429575
KCNH1	1	210676823	211134165
PPDPF	20	63520765	63522206
MPZ	1	161304735	161309968
PTK6	20	63528001	63537376
MYBPC1	12	101568353	101686018
GPATCH4	1	156594487	156601496
FAM45A	10	119104086	119137984
GALNT4	12	89519412	89524796
POC1B	12	89419718	89526047
TCHP	12	109900264	109983841
SIGLEC11	19	49948985	49961172
SRMS	20	63540810	63547504
GPR155	2	174431571	174487094
FZD5	2	207762598	207769906
NUP62	19	49906825	49929763
POC1B-GALNT4	12	89519408	89526262
PLA2G4A	1	186828949	186988981
HIP1R	12	122834453	122862961
SDHC	1	161314257	161375340
PLEKHM3	2	207821288	208025527
IL4I1	19	49889654	49929539
CNRIP1	2	68284171	68320051
CRYGD	2	208121607	208124524
CRYGC	2	208128137	208129828
NDUFB1	14	92116122	92121917
TMEM219	16	29940885	29973050
CRYGB	2	208142573	208146158
AKT1S1	19	49869033	49878459
CRYGA	2	208160740	208163576
CFAP126	1	161364731	161367874
HAPLN2	1	156619331	156625725
EPHA4	2	221418027	221574202
C2orf80	2	208165343	208190030
PNKP	19	49859882	49878351
LIMK1	7	74082933	74122525
ATP2B1	12	89588049	89709300
BRINP3	1	190097658	190478404
VPS37B	12	122865330	122896127
CHRNA1	2	174747592	174787935
SEPT2	2	241315100	241354027
RCOR3	1	211258377	211316385
PLPP3	1	56494761	56645301
IDH1	2	208236227	208266074
WIPF1	2	174559572	174682916
PLEK	2	68365282	68397453
HSPA6	1	161524540	161526894
MED25	19	49818279	49840383
FCGR3A	1	161541759	161550737
CPSF2	14	92121937	92172145
FCGR2A	1	161505430	161524013
SH3RF1	4	169094259	169270956
BCAN	1	156641390	156659532
PAX3	2	222199888	222298996
SFXN4	10	119140767	119165667
NES	1	156668763	156677407
FBXO48	2	68459422	68467294
PTPRR	12	70638073	70920738
CCDC140	2	222298147	222305217
RGS13	1	192636138	192660306
C12orf57	12	6942978	6946003
TRAF5	1	211326615	211374946
RGS18	1	192158462	192185815
ATN1	12	6924463	6942321
RGS21	1	192316992	192367285
RGS2	1	192809039	192812275
FNDC11	20	63547891	63556695
RGS1	1	192575763	192580024
TBC1D17	19	49877425	49888750
TAOK2	16	29973868	29992261
MSTN	2	190055697	190062729
C2orf88	2	189879609	190203484
HIBCH	2	190189735	190344193
PTOV1	19	49850735	49860744
PROKR1	2	68643589	68658247
APLF	2	68467572	68655862
INPP1	2	190343570	190371665
CRABP2	1	156699606	156705816
EIF4H	7	74174245	74197101
ATF5	19	49928702	49933935
HDLBP	2	241227264	241317061
ISG20L2	1	156721891	156728799
RRNAD1	1	156728442	156736960
RIN2	20	19757606	20002459
ARL6IP4	12	122980060	122982913
CCER1	12	90905622	90955176
EPYC	12	90963682	91005026
UBA1	X	47190861	47215128
KERA	12	91050491	91057983
LUM	12	91102629	91111494
P2RY1	3	152835131	152841439
BMP3	4	81030708	81057632
FCGR3B	1	161623196	161631963
LGR5	12	71439798	71586310
JPT1	17	75135248	75168281
OGFOD2	12	122974580	122980043
SUMO2	17	75165586	75182959
FCGR2B	1	161663147	161678654
TSPAN8	12	71125085	71441898
RAP2B	3	153162270	153170620
CATSPER4	1	26190561	26202968
MRPL24	1	156737303	156741590
TBXT	6	166157656	166168700
MBTD1	17	51177425	51260163
DCN	12	91140484	91182824
PRCC	1	156750610	156800815
PRDX3	10	119167720	119178812
ANKRD13D	11	67288547	67302485
HDGF	1	156742109	156766925
ABCB9	12	122920951	122981649
PRKAA2	1	56645314	56715335
TAP1	CHR_HSCHR6_MHC_SSTO_CTG1	32935926	32944695
PSMB8	CHR_HSCHR6_MHC_SSTO_CTG1	32931434	32935368
HELZ2	20	63558086	63574239
MT1HL1	1	237004103	237004418
FCRLA	1	161706972	161714352
INSRR	1	156840063	156859117
PSMB9	CHR_HSCHR6_MHC_SSTO_CTG1	32934853	32970271
SH2D2A	1	156806243	156816862
RYR2	1	237042184	237833988
NTRK1	1	156815640	156881850
FCRLB	1	161721563	161728143
DOC2A	16	30005514	30023270
BEST1	11	61950063	61965515
ZP4	1	237877864	237890922
SGPP2	2	222424543	222562621
RD3	1	211476522	211492917
MTRNR2L11	1	237943724	237945275
BTG1	12	92140278	92145846
SLC30A1	1	211571568	211579161
DUSP12	1	161749758	161757238
FTH1	11	61959718	61967634
CHN1	2	174799313	175005381
FARSB	2	222566899	222656337
CHRM3	1	239386565	239915452
NEK2	1	211658657	211675630
INO80E	16	29995715	30005793
SLC39A4	8	144409742	144416895
FMN2	1	240014348	240475187
MOGAT1	2	222671786	222709930
GREM2	1	240489573	240612155
LPGAT1	1	211743457	211830763
HIRIP3	16	29992321	29996436
ACSL3	2	222860942	222944639
TMEM19	12	71686087	71705046
SLC24A4	14	92322581	92501483
THAP2	12	71664301	71680644
RGS7	1	240775515	241357230
ZFC3H1	12	71609472	71667725
KCNE4	2	223051814	223198399
SCG2	2	223596940	223602361
LIMCH1	4	41359607	41700044
FYB2	1	56718789	56819696
RAB21	12	71754863	71800286
AP1S3	2	223751686	223838027
WDFY1	2	223855716	223945357
PEAR1	1	156893698	156916434
TMPRSS13	11	117900641	117929459
FH	1	241497603	241519761
LRRC71	1	156920632	156933094
INTS7	1	211940399	212035557
CHML	1	241628853	241640254
WDR64	1	241652278	241802133
GRK5	10	119207589	119459742
KMO	1	241532134	241595642
ATF2	2	175072250	175168382
ARHGAP25	2	68679601	68826833
OPN3	1	241590102	241677376
DTL	1	212035553	212107400
MRPL44	2	223957463	223967714
SERPINE2	2	223975045	224039318
C8A	1	56854806	56918221
LAT2	7	74199652	74229834
FAM124B	2	224378698	224402107
STK25	2	241492670	241509730
CUL3	2	224470150	224585397
ARHGEF11	1	156934840	157045370
PPP2R5A	1	212285410	212361853
FARP2	2	241356285	241494841
TBC1D15	12	71839707	71927248
PITPNM2	12	122983480	123150015
TMEM206	1	212363931	212414901
CCDC195	2	224703764	224716365
NENF	1	212432920	212446379
C8B	1	56929207	56966140
EXO1	1	241847967	241895148
ATF3	1	212565334	212620777
OMA1	1	58415384	58546802
ETV3L	1	157092043	157099808
DAB1	1	56994778	58546734
ETV3	1	157121191	157138474
